Date,Title,Content,Label
01-10-2023,"Megawati Ungkap Orang Luar Tak Bisa Langsung Jadi Ketum PDIP, Kritik Kaesang?","jpnn.com, JAKARTA - Ketua Umum PDI Perjuangan Megawati Soekarnoputri menuturkan, di partai pemenenang pemilu itu pendatang baru tidak bisa langsung jadi ketua umum. Menurutnya, ada aturan yang harus dipatuhi di PDIP.
Megawati mengaku tidak langsung menjadi ketua umum. Ia memulainya sebagai kader lebih dahulu.
""Saya pun kader, tidak mungkin orang lain tiba-tiba bisa jadi ketua umum. Karena terus siapa yang memilih kalau tiba-tiba orang luar yang dipilih. Dan itu melanggar AD/ART. Lah bayangkan kok kita tidak diberi kesempatan menerangkan hal ini, dengan demikian sering kontradiktif,"" ujar Megawati saat penutupan Rakernas IV PDIP di JIExpo Kemayoran, Jakarta, Minggu (1/10).
Megawati pun mengaku merupakan petugas partai di PDIP. Ia ditugasi oleh Kongres untuk menjadi ketua umum partai.
Karena itu juga, Megawati heran dianggap sombong ketika mengatakan Presiden Joko Widodo sebagai petugas partai.
""Saya sampai bingung, lha kok saya bilang Pak Jokowi itu petugas partai, kader, lho kok saya diomongkan yang namanya katanya terlalu sombong. Itu adalah AD/ART di partai kita. Saya pun petugas partai lho,"" kata presiden kelima RI.
""Ditugasi oleh Kongres partai untuk menjadi, dipilih kalian untuk bertanggung jawab sebagai ketua umum,"" kata Megawati.
Megawati tidak secara langsung menyindir seseorang. Tetapi, dalam dinamika politik belakangan, ada sosok putra bungsu Presiden Joko Widodo Kaesang Pangarep yang menjadi ketua umum Partai Solidaritas Indonesia (PSI). Padahal Kaesang baru tiga hari resmi menjadi kader PSI. (dil/jpnn)Yuk, Simak Juga Video ini!",politik
01-10-2023,"Peringati Hari Kesaktian Pancasila, KawanJuang GP Gelar Gowes Gembira di Purwakarta","jpnn.com, PURWAKARTA - Para sukarelawan pendukung bakal capres Pemilu 2024 Ganjar Pranowo yang tergabung dalam KawanJuang GP menggelar acara sepeda gembira di Purwakarta, Jawa Barat, Minggu (1/10).
Kegiatan olahraga yang melibatkan komunitas pesepeda di Purwakarta itu digelar dalam rangka peringatan Hari Kesakitan Pancasila.
Lebih dari 800 pesepeda menyemarakkan kegiatan bertitel 'Bergerak Bersama Ganjar Pranowo' itu. Pesertanya tidak hanya dari Purwakarta, tetapi juga warga Bandung Barat, Cikampek, dan Karawang.
Koordinator KawanJuang GP Indra Nugraha mengatakan Hari Kesaktian Pancasila merupakan momen tepat untuk merefleksikan nilai-nilai dasar negara itu untuk menjalin persatuan.
Menurut Indra, bersepeda dalam kegembiraan merupakan salah satu cara untuk merekatkan persatuan bangsa menjelang pemilu tahun depan.
""Dalam menyambut ajang Pemilu 2024 modal kita adalah bersatu. Kami sebagai sukarelawan selalu mengedepankan nilai-nilai persatuan dalam menyosialisasikan visi Ganjar Pranowo,” ujar Indra Nugraha.
Sepeda gembira KawanJuang GP di Purwakarta itu menempuh jarak sejauh 20 kilometer. Titik startnya di Stadion Purnawarman, lalu melintasi tengah kota melalui Jalan LL Martadinata hingga Jalan Veteran.
Selanjutnya, para pesepeda beriringan putar arah melalui Jalan Irigasi dan Ipik Gandamanah, lalu beristirahat di titik pemeriksaan atau check point  Jalan Lodaya yang mempunyai pemandangan khas persawahan.",politik
01-10-2023,"Ganjar dan Anies Hadiri Acara IdeaFest, di Mana Prabowo?","jpnn.com, JAKARTA - Ketiga bacapres Ganjar Pranowo, Anies Baswedan, dan Prabowo Subianto diundang hadir mengisi acara IdeaFest 2023.
Ganjar, Anies, dan Prabowo diagendakan untuk ada di panggung yang sama dalam tajuk “Youth Summit” di Assembly Hall, JCC Senayan, Sabtu (30/9).
Namun, dalam acara itu yang hadir hanya Ganjar dan Anies.
Pada kesempatan itu, Ganjar Pranowo mengajak generasi muda untuk aktif terlibat dalam politik sebagai salah satu bentuk pendidikan yang memperkaya ide mereka.
""Karena dengan masuk, anda akan tahu dan itu bagian dari pendidikan politik yang baik, maka saya melamar anak muda untuk ikut bergabung,"" kata Ganjar.
Dalam gelaran yang sama, Anies Baswedan juga hadir di IdeaFest dan mengungkapkan rasa senangnya bekerja dengan anak muda.
""Anak muda itu punya energi yang lebih, perspektifnya baru. Ini saya katakan bukan karena di sini banyak anak muda saja, tetapi memang selalu begitu. Dan itulah kenapa saya senang bekerja dengan anak muda,"" kata Anies.
Dalam unggahan poster yang dipublikasikan oleh IdeaFest pada hari pelaksanaan acara, pihak penyelenggara mengunggah tanpa kehadiran Bacapres Prabowo Subianto. (Tan/JPNN)",politik
01-10-2023,"Silaturahmi ke Rembang, Anies Diberi Tongkat Kiai Najih dan Berdoa di Kamar Mbah Moen","jpnn.com, JAKARTA - Anies Baswedan mengunjungi Pondok Pesantren Al Anwar, dan Ma'hadu 'Ulum Asy-Syar'Iyyah (MUS) Rembang, Sarang, Rembang, Minggu (1/10).
Kedatangan tersebut merupakan kali kedua setelah 2013 lalu, dan Anies mendapat sambutan hangat dari para putra mendiang KH Maimoen Zubair alias Mbah Moen yakni, KH Najih Maimun, KH Idror Maimun, KH Abdur Rouf Maimun.
“Dan para ulama lainnya. Kami bersyukur bisa berjumpa dengan keluarga dan bertemu dengan para santri disini,” ucap Anies
Anies juga menjelaskan kedatangan untuk memohon doa restu, wejangan serta nasehat dari para alim ulama terkait statusnya sebagai bacapres dari Koalisi Perubahan untuk Persatuan.
“Kami datang untuk mohon doa, nasehat untuk amanah besar yang sedang kami emban. Insyaallah ini jadi bekal untuk perjalanan kami ke depan,” terangnya
Selain itu, para kiai di Pesantren Al Anwar juga menitipkan pesan khusus untuk Anies agar senantiasa ingat kepada Allah SWT dan Nabi Muhammad SAW.
“Kami dipesankan untuk selalu dekat pada Allah SWT, jangan lewatkan dzikirnya, jangan lewatkan istighfarnya, jangan lewatkan sholawatnya, itu yang dipesankan oleh beliau,” ungkap.
Selain mendapatkan wejangan Anies juga diberikan sebuah tongkat komando oleh Gus Najih.",politik
01-10-2023,"Survei Erick Thohir Teratas di Jatim, Pengamat: Ada Hubungan Emosional dengan NU","jpnn.com, JAKARTA - Nama Erick Thohir punya keterpilihan paling tinggi di masyarakat Jawa Timur (Jatim) sebagai cawapres untuk Pilpres 2024.
Pengamat politik dari Suropati Syndicat Muhammad Shujahri menilai hal itu sangat wajar.
""Tahun 2022, sudah ada survei CSIS yang menempatkan Erick Thohir ada di posisi tiga besar untuk survei capres di kalangan warga NU. Jadi, jika saat ini, nama Erick Thohir teratas di bakal cawapres, maka hal ini bukanlah sebuah yang tiba-tiba muncul belakangan,"" kata Shujahri saat dihubungi di Jakarta, Minggu malam (1/10).
Dalam hasil survei Indikator Politik Indonesia (IPI) periode 14-20 September 2023 bertajuk ""Signifikansi NU dan Peta Elektoral Jelang Pemilu 2024 di Jawa Timur"" pada Minggu (1/10/2023), Erick Thohir menempati posisi teratas dengan 17,2 persen atau menjadi figur yang dinilai paling pantas menjadi cawapres.
Menteri BUMN itu unggul di dalam simulasi 19 nama semiterbuka.
Shujahri menambahkan bahwa Erick Thohir merupakan figur anggota kehormatan Banser.
""Bahkan, saya pernah dengar dan dituturkan langsung oleh ketum PBNU bahwa kampung halaman Erick Thohir juga merupakan salah satu daerah basis NU di luar jawa. Jadi, wajar karena NU sudah melekat pada diri Pak Erick sejak kecil,"" ungkap Shujahri.
Survei IPI juga menjelaskan sebanyak 16,8 persen warga muslim di Jatim memilih Erick sebagai cawapres, disusul Khofifah dengan 15,6 persen, dan Mahfud MD dengan 11,4 persen.",politik
01-10-2023,"Survei Terbaru: Ganjar Mengungguli Prabowo dan Anies di Jatim, Lihat Datanya","jpnn.com, JAKARTA - Bakal calon presiden atau Capres 2024 Ganjar Pranowo mengungguli dua rivalnya, Prabowo Subianto dan Anies Baswedan dalam survei Indikator Politik Indonesia di Jawa Timur yang digelar 14-20 September 2023.?
Dalam survei ini, Indikator mengusung tema Signifikansi NU dan Peta Elektoral Menjelang Pemilu 2024 di Jawa Timur (Jatim) yang disiarkan melalui YouTube, Minggu (1/10).

Di awal paparannya, peneliti utama Indikator Burhanuddin Muhtadi mengatakan dalam kasus di Indonesia, pemenang Pilpres sering? kali sangat ditentukan oleh peta elektoral di Jatim.
Sebagai catatan, dia menyebut per 2004, tidak ada capres yang bisa memenangkan pemilu secara nasional tanpa menang di Jatim.
Fakta ini menurutnya terjadi di era Presiden keenam RI Susilo Bambang Yudhoyono (SBY) dan Presiden ketujuh RI Joko Widodo (Jokowi).
""Pak Jokowi kalah dua kali di Jawa Barat 2014 dan 2019, tetapi ujungnya pak Jokowi tetap menang karena menang di Jawa Timur. Ini juga terjadi di zaman Pak SBY 2004 dan 2009,"" ujarnya.
Selanjutnya, Burhanuddin memaparkan hasil survei lembaganya yang mempe?rlihatkan keunggulan elektabilitas Ganjar Pranowo dibanding rival-rival politiknya me?njelang Pilpres 2024.",politik
01-10-2023,"Viral! Video Ahok Ogah Orang Jahat Jadi Presiden, Pilihannya Cuma Ganjar","jpnn.com, JAKARTA - Sebuah klip yang beredar di media sosial memperlihatkan mantan Gubernur DKI Jakarta Basuki T Purnama alias Ahok mewanti-wanti masyarakat tidak memilih sosok berkarakter jahat menjadi presiden.
Ahok dalam video yang direkam di sela-sela Rapat Kerja Nasional (Rakernas) IV PDIP di JIExpo Kemayoran, Jakarta Pusat, itu menyatakan karakter orang baru terlihat ketika berada dalam kekuasaan.
""Kita bisa melihat karakter orang ketika ada di kekuasaan dan kita harus berani tegas,"" kata Ahok.
Politikus PDIP itu lantas mengutip pernyataan negarawan Afrika Selatan (Afsel) Nelson Mandela yang menyebut orang jahat tidak akan bisa mengelola negara.
""Orang jahat itu, kata Nelson Mandela, enggak bisa mengurus negara karena di kepala mereka itu cuma ada kekuasaan dan kekayaan saja,"" ujar Ahok.
Mantan bupati Belitung Timur itu pun menganggap bakal capres dari PDIP Ganjar Pranowo sebagai sosok yang teruji. Pernyataan Ahok itu didasari pada rekam jejak Ganjar selama di legislatif dan eksekutif.
Ganjar pernah menjadi anggota DPR. Politikus PDIP itu juga pernah menjadi gubernur Jateng periode 2013-2018 dan 2018-2023.
""Kalau Ganjar, kan, sudah teruji. Ya, orang kalau belum pernah berkuasa itu gampang omongnya, tetapi kalau kamu sudah di kekuasan, karakter Anda teruji dan Ganjar teruji,"" imbuh Ahok.",politik
01-10-2023,Relawan Asandra Gelar Tebus Murah Sembako di Kabupaten Malang,"jpnn.com, JAKARTA - Relawan Asandra menggelar kegiatan tebus murah sembako di Ngijo, Kecamatan Karangploso, Kabupaten Malang, Jawa Timur.
Melalui kegiatan itu, mereka juga memperkuat dukungan sekaligus menyosialisasikan sosok Asandra Salsabila, bakal calon legislatif atau caleg PPP.
Anggota Relawan Asandra, Rizqy mengatakan kegiatan itu bukti komitmen Asandra Salsabila dan timnya untuk membantu kebutuhan masyarakat.
Rizqy menyebut sembako yang dijual dengan harga terjangkau memberikan bantuan nyata kepada warga dalam memenuhi kebutuhan pokok mereka
""Kegiatan semacam ini menjadi solusi yang sangat diapresiasi oleh masyarakat. Melalui tebus murah sembako, Relawan Asandra membantu mengurangi beban finansial sekaligus memberikan kesempatan kepada warga untuk merasakan perhatian dan dukungan dari berbagai kalangan,"" ujarnya dalam keterangan tertulis, Minggu (1/10).
Selain memberikan bantuan langsung kepada warga, kegiatan tebus murah sembako ini juga menjadi wadah untuk menyosialisasikan sosok Asandra Salsabila.
""Dalam dunia politik yang penuh dengan dinamika, penting bagi calon legislatif untuk memperkenalkan diri mereka kepada konstituen potensial mereka,"" ucap Rizqy.
Dia mengatakan Asandra Salsabila sebagai seorang caleg muda dari PPP mungkin belum begitu dikenal oleh semua warga di daerah pemilihannya.",politik
01-10-2023,"Bisikan Bukti Kedekatan Jokowi dengan Ganjar, Relasinya Tidak Setipis Kulit Bawang","jpnn.com, JAKARTA - Dosen Program Studi Komunikasi Universitas Pelita Harapan (UPH) Emrus Sihombing menganalisis pengakuan Presiden Joko Widodo tentang ‘bisik-bisik’ tokoh yang kondang dengan panggilan Jokowi itu kepada Ganjar Pranowo.
Menurut Emrus, bisik-bisik tersebut mencerminkan kedekatan antara Jokowi dengan bakal capres dari Partai Demokrasi Indonesia Perjuangan (PDIP) itu.
""Dari perspektif komunikasi, tidak mungkin seseorang membisikkan sesuatu kepada orang lain kalau tidak dekat. Artinya, relasi mereka sangat dekat,” ujar Emrus seperti diberitakan LKBN Antara.
Presiden Jokowi saat berpidato pada Pembukaan Rakernas IV PDIP di JIExpo Kemayoran, Jakarta Pusat, Jumat (29/9) mengaku membisikkan sesuatu kepada Ganjar Pranowo.
Presiden Ketujuh RI itu meminta Ganjar jika kelak dilantik menjadi penggantinya langsung bergerak mewujudkan ketahanan pangan.
Lebih lanjut Emrus menjelaskan makna ‘bisik-bisik’ menurut sosiologi dan psikologi.
“Pesan komunikasi dari berbisik itu keduanya saling mendukung, memberikan penghargaan, dan penghormatan,"" tutur Emrus.
Pengasuh Emrus’s Corner itu juga mengulas bahasa verbal yang dipakai Presiden Jokowi ketika membisiki Ganjar dengan pesan tentang pentingnya kedaulatan pangan segera diwujudkan.",politik
01-10-2023,"Momen-Momen di Rakernas PDIP, Mulai Sinyal Dukungan Jokowi untuk Ganjar, hingga Bu Mega Menerima Bibit MSP","jpnn.com - JAKARTA - Rapat Kerja Nasional (Rakernas) IV Partai Demokrasi Indonesia Perjuangan (PDIP) berakhir, Minggu (1/10).
Sejumlah momen terekam dalam Rakernas IV PDIP bertema ""Kedaulatan Pangan untuk Kesejahteraan Rakyat Indonesia"" subtema ""Pangan Sebagai Lambang Supremasi Kepemimpinan Indonesia Bagi Dunia"" itu.
Mulai dari keharmonisan yang diperlihatkan Presiden Jokowi dan Ketua Umum PDIP Megawati Soekarnoputri beserta dua anaknya yang juga Ketua DPP PDIP Prananda Prabowo dan Puan Maharani, serta Capres 2024 Ganjar Pranowo.
Sinyal dukungan Presiden Jokowi untuk Ganjar Pranowo pun terjadi pada momen pembukaan rakernas.
Keakraban pun diperlihatkan PDIP dengan para ketua umum partai politik pendukung Ganjar Pranowo di momen itu.
Tidak dapat dipungkiri, strategi pemenangan Pemilu dan Pilpres 2024 tak luput dari pembahasan di rakernas.
Bu Mega, Puan Maharani, hingga Sekjen PDIP Hasto Kristiyanto turut memberikan arahan kepada ribuan kader partai berlambang kepala banteng moncong putih itu.
Namun, PDIP dalam berpartai tidak melulu bicara soal pemilu dan kekuasaan.",politik
